iter	Passed	Remaining
0	0	750
1	1	721
2	1	661
3	2	601
4	2	566
5	3	537
6	3	520
7	4	518
8	8	897
9	9	893
10	9	852
11	10	829
12	10	808
13	11	798
14	11	779
15	12	762
16	12	746
17	13	733
18	13	722
19	14	710
20	15	701
21	15	690
22	16	680
23	17	699
24	17	697
25	18	702
26	21	772
27	21	761
28	22	750
29	22	740
30	24	768
31	25	759
32	25	758
33	26	750
34	26	741
35	28	775
36	30	793
37	31	790
38	32	793
39	33	793
40	33	787
41	34	785
42	35	779
43	35	773
44	36	769
45	37	774
46	37	769
47	38	764
48	39	758
49	39	757
50	40	755
51	41	751
52	43	786
53	44	785
54	46	803
55	47	798
56	48	795
57	48	790
58	49	786
59	49	782
60	50	780
61	51	778
62	52	774
63	52	771
64	53	769
65	54	767
66	54	764
67	55	760
68	56	757
69	56	752
70	57	754
71	58	750
72	58	747
73	59	746
74	60	746
75	61	743
76	61	739
77	62	735
78	63	737
79	63	734
80	64	731
81	64	727
82	65	725
83	66	724
84	68	735
85	68	733
86	69	732
87	70	729
88	70	726
89	71	725
90	72	722
91	73	720
92	73	717
93	74	715
94	74	714
95	75	712
96	76	709
97	76	706
98	77	703
99	77	700
100	78	697
101	78	694
102	79	691
103	79	688
104	82	699
105	82	698
106	83	700
107	84	696
108	84	693
109	85	690
110	85	687
111	86	684
112	86	682
113	87	680
114	88	678
115	88	675
116	89	672
117	89	669
118	90	667
119	90	664
120	90	660
121	91	659
122	92	657
123	92	654
124	93	652
125	93	650
126	93	645
127	95	648
128	95	646
129	96	647
130	97	644
131	97	642
132	98	641
133	98	638
134	99	637
135	100	635
136	100	634
137	101	632
138	101	630
139	102	628
140	102	627
141	103	625
142	103	621
143	103	617
144	104	615
145	104	613
146	105	612
147	106	611
148	106	609
149	108	617
150	109	616
151	110	616
152	111	614
153	111	612
154	112	610
155	112	608
156	112	606
157	113	605
158	114	603
159	114	602
160	115	600
161	115	598
162	116	596
163	116	595
164	117	593
165	117	591
166	118	589
167	118	588
168	119	586
169	119	584
170	120	582
171	121	586
172	122	586
173	123	584
174	123	583
175	124	581
176	124	580
177	125	578
178	125	576
179	126	575
180	127	575
181	127	573
182	128	572
183	129	572
184	129	571
185	130	570
186	130	568
187	131	566
188	131	565
189	132	564
190	132	562
191	133	561
192	136	569
193	136	568
194	137	569
195	138	568
196	139	566
197	139	566
198	140	566
199	142	568
200	145	577
201	146	578
202	147	577
203	147	576
204	148	575
205	150	580
206	151	579
207	152	579
208	152	578
209	153	576
210	153	575
211	154	574
212	155	573
213	155	571
214	156	570
215	156	568
216	157	567
217	157	566
218	158	564
219	159	564
220	159	563
221	160	561
222	161	561
223	163	564
224	163	563
225	164	562
226	164	561
227	165	560
228	166	559
229	166	558
230	167	556
231	171	566
232	172	566
233	172	565
234	173	564
235	173	562
236	174	561
237	175	561
238	175	559
239	178	564
240	179	563
241	179	562
242	180	561
243	181	560
244	181	559
245	182	559
246	183	558
247	184	557
248	184	557
249	185	557
250	186	556
251	187	555
252	187	554
253	188	553
254	188	552
255	191	555
256	191	554
257	192	553
258	193	553
259	194	552
260	194	551
261	195	549
262	195	548
263	196	548
264	197	548
265	198	547
266	199	547
267	200	546
268	201	546
269	201	545
270	202	544
271	203	543
272	205	546
273	206	546
274	206	545
275	207	544
276	208	545
277	209	544
278	210	544
279	211	542
280	211	541
281	212	541
282	213	540
283	213	539
284	214	538
285	215	537
286	216	536
287	219	541
288	220	541
289	221	541
290	221	540
291	222	540
292	226	546
293	227	545
294	229	547
295	229	546
296	230	545
297	231	546
298	232	545
299	233	544
300	234	543
301	234	542
302	235	541
303	236	540
304	236	539
305	237	538
306	238	537
307	239	538
308	240	537
309	240	536
310	241	535
311	242	534
312	245	538
313	246	537
314	247	538
315	248	538
316	249	537
317	250	537
318	251	536
319	251	535
320	252	534
321	253	533
322	253	532
323	254	531
324	255	530
325	256	529
326	258	531
327	259	531
328	260	530
329	260	529
330	261	528
331	262	527
332	263	527
333	264	527
334	265	526
335	265	525
336	266	524
337	266	522
338	267	522
339	268	521
340	269	520
341	271	522
342	272	521
343	272	520
344	273	519
345	274	518
346	275	517
347	276	518
348	277	517
349	277	516
350	278	514
351	279	513
352	279	512
353	280	511
354	281	510
355	282	510
356	282	509
357	283	508
358	284	507
359	284	506
360	285	504
361	285	503
362	286	502
363	287	501
364	287	501
365	288	500
366	289	499
367	290	498
368	290	497
369	291	496
370	293	498
371	294	497
372	295	496
373	296	496
374	297	495
375	298	495
376	299	494
377	300	493
378	300	492
379	301	492
380	302	491
381	302	489
382	303	488
383	304	488
384	304	486
385	306	487
386	307	487
387	308	486
388	309	485
389	310	485
390	310	483
391	311	482
392	311	481
393	312	481
394	313	480
395	314	479
396	315	478
397	315	477
398	316	477
399	319	478
400	320	478
401	321	477
402	322	477
403	322	476
404	323	475
405	324	474
406	325	473
407	325	472
408	326	471
409	328	472
410	329	472
411	330	471
412	331	471
413	332	470
414	332	469
415	333	468
416	334	467
417	335	466
418	335	465
419	336	464
420	337	463
421	337	462
422	338	461
423	338	460
424	339	459
425	341	460
426	342	459
427	342	458
428	344	457
429	344	456
430	345	455
431	345	454
432	346	453
433	347	453
434	348	452
435	348	451
436	349	449
437	349	448
438	350	447
439	350	446
440	351	445
441	351	444
442	352	442
443	352	441
444	353	440
445	353	439
446	355	440
447	356	439
448	357	438
449	357	437
450	358	436
451	359	435
452	359	434
453	360	433
454	360	432
455	361	431
456	362	430
457	362	429
458	363	428
459	363	427
460	364	426
461	364	424
462	365	423
463	366	422
464	366	421
465	367	420
466	367	419
467	369	419
468	369	418
469	370	418
470	371	417
471	372	416
472	373	415
473	373	414
474	374	413
475	374	412
476	375	411
477	376	410
478	376	409
479	377	408
480	377	407
481	378	406
482	379	405
483	379	404
484	380	403
485	380	402
486	381	401
487	383	402
488	383	401
489	384	400
490	385	399
491	385	398
492	386	397
493	387	396
494	387	395
495	388	394
496	389	393
497	389	392
498	390	391
499	390	390
500	391	389
501	391	388
502	392	387
503	392	386
504	393	385
505	393	384
506	394	383
507	395	382
508	396	382
509	397	381
510	398	380
511	398	379
512	399	379
513	400	378
514	400	377
515	401	376
516	401	375
517	402	374
518	403	373
519	403	372
520	404	371
521	404	370
522	405	369
523	405	368
524	406	367
525	406	366
526	407	365
527	407	364
528	408	363
529	410	363
530	410	362
531	411	361
532	411	360
533	412	360
534	413	359
535	413	358
536	414	357
537	414	356
538	415	355
539	416	354
540	416	353
541	417	352
542	417	351
543	418	350
544	419	349
545	419	348
546	420	347
547	420	347
548	421	346
549	421	345
550	422	344
551	423	343
552	424	342
553	424	342
554	425	341
555	426	340
556	426	339
557	427	338
558	427	337
559	428	336
560	428	335
561	429	334
562	430	333
563	430	333
564	431	332
565	432	331
566	432	330
567	433	329
568	433	328
569	434	327
570	434	326
571	435	325
572	435	324
573	436	323
574	437	323
575	437	322
576	438	321
577	439	320
578	439	319
579	440	318
580	440	317
581	441	316
582	441	316
583	442	315
584	443	314
585	443	313
586	444	312
587	444	311
588	445	310
589	445	309
590	446	308
591	446	308
592	447	307
593	447	306
594	448	305
595	449	304
596	450	304
597	451	303
598	451	302
599	452	301
600	452	300
601	453	299
602	453	298
603	454	298
604	455	297
605	455	296
606	456	295
607	457	294
608	457	293
609	458	292
610	458	292
611	459	291
612	459	290
613	460	289
614	460	288
615	461	287
616	461	286
617	462	285
618	462	284
619	464	284
620	464	283
621	465	282
622	465	281
623	466	280
624	466	280
625	467	279
626	467	278
627	468	277
628	468	276
629	469	275
630	470	274
631	470	274
632	471	273
633	471	272
634	472	271
635	473	271
636	474	270
637	474	269
638	475	268
639	475	267
640	476	266
641	476	265
642	478	265
643	478	264
644	479	263
645	480	263
646	480	262
647	481	261
648	481	260
649	482	259
650	483	259
651	483	258
652	484	257
653	484	256
654	485	255
655	485	254
656	486	253
657	486	253
658	487	252
659	488	251
660	488	250
661	489	249
662	489	248
663	490	248
664	490	247
665	491	246
666	492	245
667	493	245
668	493	244
669	494	243
